speaker,minute,text,event,id
Joe Biden,05:36:00,The American people have a right to have a say in who the Supreme Court nominee is and that say occurs when they vote for United States Senators and when they vote for the President of United States. They’re not going to get that chance now because we’re in the middle of an election already. The election has already started. Tens of thousands of people already voted and so the thing that should happen is we should wait. We should wait and see what the outcome of this election is because that’s the only way the American people get to express their view is by who they elect as President and who they elect as Vice President.,1st Presidential Debate 2020,uXgh9cqhkB
Joe Biden,06:12:00,"Now, what’s at stake here is the President’s made it clear, he wants to get rid of the Affordable Care Act. He’s been running on that, he ran on that and he’s been governing on that. He’s in the Supreme Court right now trying to get rid of the Affordable Care Act, which will strip 20 million people from having health insurance now, if it goes into court. And the justice, I’m not opposed to the justice, she seems like a very fine person. But she’s written, before she went in the bench, which is her right, that she thinks that the Affordable Care Act is not Constitutional. The other thing that’s on the court, and if it’s struck down, what happens? Women’s rights are fundamentally changed. Once again, a woman could pay more money because she has a pre-existing condition of pregnancy. They’re able to charge women more for the same exact procedure a man gets.",1st Presidential Debate 2020,tWrJtpuIyy
Joe Biden,07:08:00,"And that ended when we, in fact, passed the Affordable Care Act, and there’s a hundred million people who have pre-existing conditions and they’ll be taken away as well. Those pre-existing conditions, insurance companies are going to love this. And so it’s just not appropriate to do this before this election. If he wins the election and the Senate is Republican, then he goes forward. If not, we should wait until February.",1st Presidential Debate 2020,08Cay3gYYt
Donald Trump,07:34:00,"There aren’t a hundred million people with pre-existing conditions. As far as a say is concerned, the people already had their say. Okay, Justice Ginsburg said very powerfully, very strongly, at some point 10 years ago or so, she said a President and the Senate is elected for a period of time, but a President is elected for four years. We’re not elected for three years. I’m not elected for three years. So we have the Senate, we have a President-",1st Presidential Debate 2020,86V2EnKkvh
Joe Biden,08:01:00,He’s elected to the next election.,1st Presidential Debate 2020,rpUm0mXA3i
Donald Trump,08:02:00,"During that period of time, during that period of time, we have an opening. I’m not elected for three years. I’m elected for four years. Joe, the hundred million people is totally wrong. I don’t know where you got that number. The bigger problem that you have is that you’re going to extinguish 180 million people with their private health care, that they’re very happy this.",1st Presidential Debate 2020,51dkfTxpTw
Joe Biden,08:24:00,That’s simply not true.,1st Presidential Debate 2020,CluPpdqmv3
Donald Trump,08:25:00,"Well, you’re certainly going to socialist. You’re going to socialist-",1st Presidential Debate 2020,w9NP0VIfFe
Chris Wallace,08:29:00,"Gentlemen, we’re now into open discussion.",1st Presidential Debate 2020,quLL0YgPVI
Joe Biden,08:31:00,Open discussion.,1st Presidential Debate 2020,suY7Rlg1GZ
Chris Wallace,08:32:00,"Open discussion, yes, I agree. Go ahead, Vice President.",1st Presidential Debate 2020,B6tEeoIY1Q
Joe Biden,08:33:00,"Number one, he knows what I proposed. What I proposed is that we expand Obamacare and we increase it. We do not wipe any. And one of the big debates we had with 23 of my colleagues trying to win the nomination that I won, were saying that Biden wanted to allow people to have private insurance still. They can. They do. They will under my proposal.",1st Presidential Debate 2020,iXhUQi6Hl6
Donald Trump,08:58:00,That’s not what you’ve said and it’s not what your party is saying.,1st Presidential Debate 2020,HPuiylmCGJ
Joe Biden,09:00:00,That is simply a lie.,1st Presidential Debate 2020,JnDeFB2grM
Donald Trump,09:02:00,Your party doesn’t say it. Your party wants to go socialist medicine and socialist healthcare.,1st Presidential Debate 2020,3Ll4EkKLum
Joe Biden,09:05:00,"The party is me. Right now, I am the Democratic Party.",1st Presidential Debate 2020,OuD2a7mCDT
Donald Trump,09:08:00,"And they’re going to dominate you, Joe. You know that.",1st Presidential Debate 2020,CzvvndMhWz
Joe Biden,09:09:00,I am the Democratic Party right now.,1st Presidential Debate 2020,OJJTdD2lQm
Donald Trump,09:11:00,Not according to Harris.,1st Presidential Debate 2020,415GGs2UKi
Joe Biden,09:12:00,"The platform of the Democratic Party is what I, in fact, approved of, what I approved of. Now, here’s the deal. The deal is that it’s going to wipe out pre-existing conditions. And, by the way, the 200,000 people that have died on his watch, how many of those have survived? Well, there’s seven million people that contracted COVID. What does it mean for them going forward if you strike down the Affordable Care Act?",1st Presidential Debate 2020,RK9ZJ2Jwr7
Donald Trump,09:39:00,"Joe, you’ve had 308,000 military people dying because you couldn’t provide them proper healthcare in the military. So don’t tell me about this.",1st Presidential Debate 2020,lK2zwi3Axh
Joe Biden,09:47:00,I’m happy to talk about this.,1st Presidential Debate 2020,SLWSbtm31l
Donald Trump,09:48:00,"And if you were here, it wouldn’t be 200, it would be two million people because you were very late on the draw. You didn’t want me to ban China, which was heavily infected. You didn’t want me to ban Europe.",1st Presidential Debate 2020,kczhgx5J5T
Chris Wallace,09:58:00,"All right, gentlemen, Mr. President.",1st Presidential Debate 2020,YbQCcqd9eh
Donald Trump,10:00:00,"You would have been much later, Joe, much later.",1st Presidential Debate 2020,b4yNcOad7o
Chris Wallace,10:04:00,Mr. President.,1st Presidential Debate 2020,E7po2Dt6Mq
Donald Trump,10:04:00,We’re talking about two million people.,1st Presidential Debate 2020,1spS7deCVu
Joe Biden,10:05:00,You’re not going to be able to shut him up.,1st Presidential Debate 2020,31Is1uTiG3
Chris Wallace,10:06:00,"Mr. President, as the moderator, we are going to talk about COVID in the next segment. But go ahead.",1st Presidential Debate 2020,DYuMylaUWa
Joe Biden,10:11:00,"Let me finish. The point is that the President also is opposed to Roe V. Wade. That’s on the ballot as well and the court, in the court, and so that’s also at stake right now. And so the election is all-",1st Presidential Debate 2020,sl7fwkISSc
Donald Trump,10:25:00,You don’t know what’s on the ballot. Why is it on the ballot? Why is it on the ballot? It’s not on the ballot.,1st Presidential Debate 2020,zeFekTeu2O
Joe Biden,10:31:00,It’s on the ballot in the court.,1st Presidential Debate 2020,9hN9A5gK1S
Donald Trump,10:32:00,I don’t think so.,1st Presidential Debate 2020,AARwuoPRfd
Joe Biden,10:33:00,In the court.,1st Presidential Debate 2020,V5Xy9aYWzc
Donald Trump,10:34:00,There’s nothing happening there.,1st Presidential Debate 2020,D74IzauJAQ
Joe Biden,10:35:00,Donald would you just be quiet for a minute.,1st Presidential Debate 2020,0mqAXoovay
Donald Trump,10:36:00,You don’t know her view on Roe V. Wade? You don’t know here view.,1st Presidential Debate 2020,UKwNp0da8X
Chris Wallace,10:40:00,"Well, all right. All right. Let’s talk. We’ve got a lot to unpack here, gentlemen. We’ve got a lot of time. On healthcare, and then we’ll come back to Roe V. Wade.",1st Presidential Debate 2020,w9zrZ33KbD
Joe Biden,10:51:00,All right.,1st Presidential Debate 2020,Xn08DYxHGF
Chris Wallace,10:51:00,"Mr. President, the Supreme Court will hear a case a week after the election in which the Trump Administration, along with 18 state Attorney Generals are seeking to overturn Obamacare, to end Obamacare.",1st Presidential Debate 2020,FCkRa4gFOC
Donald Trump,11:05:00,That’s right.,1st Presidential Debate 2020,k4upPANc3S
Chris Wallace,11:05:00,You have spent the last week-,1st Presidential Debate 2020,tNWNFNEUrk
Donald Trump,11:07:00,Because they want to give good healthcare.,1st Presidential Debate 2020,JWLHlNqqTI
Chris Wallace,11:08:00,"If I may ask my question, sir.",1st Presidential Debate 2020,nj0Nm0zu66
Joe Biden,11:11:00,Good healthcare.,1st Presidential Debate 2020,w5SLxu1aYX
Chris Wallace,11:11:00,"Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare.",1st Presidential Debate 2020,4WeGYK5s43
Donald Trump,11:25:00,"Yes, I have. Of course, I have. The individual mandate.",1st Presidential Debate 2020,LxPdLD21x6
Chris Wallace,11:26:00,[crosstalk 00:11:26] when I finish I’m going to give an opportunity-,1st Presidential Debate 2020,syodoy8UJ6
Donald Trump,11:28:00,"Excuse me. I got rid of the individual mandate, which was a big chunk of Obamacare.",1st Presidential Debate 2020,QKnOm6EDgT
Chris Wallace,11:31:00,That’s not a comprehensive place.,1st Presidential Debate 2020,kNQEepRWOH
Donald Trump,11:32:00,That is absolutely a big thing. That was the worst part of Obamacare.,1st Presidential Debate 2020,QwFKHJ4kgG
Chris Wallace,11:35:00,"I didn’t ask, sir.",1st Presidential Debate 2020,HuTWBf3rUX
Donald Trump,11:36:00,"Chris, that was the worst part of Obamacare.",1st Presidential Debate 2020,1sR6WIyQFf
Chris Wallace,11:38:00,You’re debating him not me. Let me ask my question.,1st Presidential Debate 2020,9aPIcY7ytF
Donald Trump,11:38:00,"Well, I’ll ask Joe. The individual mandate was the most unpopular aspect of Obamacare.",1st Presidential Debate 2020,5GX2cNooc2
Chris Wallace,11:44:00,Mr. President.,1st Presidential Debate 2020,BdESFF9iaF
Donald Trump,11:44:00,I got rid of it. And we will protect people.,1st Presidential Debate 2020,dVLAgudMk0
Chris Wallace,11:46:00,"Mr. President, I’m the moderator of this debate and I would like you to let me ask my question and then you can answer.",1st Presidential Debate 2020,HpvdW8guQC
Donald Trump,11:52:00,Go ahead.,1st Presidential Debate 2020,VtEGlmgZFn
Chris Wallace,11:53:00,"You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate. So my question, sir, is what is the Trump healthcare plan?",1st Presidential Debate 2020,aIuSBJOVmI
Donald Trump,12:16:00,"Well, first of all, I guess I’m debating you, not him, but that’s okay. I’m not surprised. Let me just tell you something. There’s nothing symbolic. I’m cutting drug prices. I’m going with Favored Nations, which no President has the courage to do because you’re going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47 year period in government, but you didn’t do it. Nobody’s done it. So we’re cutting healthcare.",1st Presidential Debate 2020,bKq6gI4via
Chris Wallace,12:40:00,What about pre-existing conditions?,1st Presidential Debate 2020,vh28bN7H3p
Donald Trump,12:40:00,All of the things that we’ve done.,1st Presidential Debate 2020,FjsaOiT5Ys
Joe Biden,12:41:00,He has not done healthcare.,1st Presidential Debate 2020,TL1xxNTurd
Donald Trump,12:42:00,"I’ll give you an example. Insulin, it was destroying families, destroying people, the cost. I’m getting it for so cheap it’s like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we’re doing. Prescription drug prices, we’re going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do.",1st Presidential Debate 2020,Hsu11aYpH1
Chris Wallace,13:03:00,"Okay, like I say, this is open discussion.",1st Presidential Debate 2020,d2BJKWgn8b
Donald Trump,13:04:00,This is big stuff.,1st Presidential Debate 2020,AlIlFvlFGF
Chris Wallace,13:06:00,"Sir, you’ll be happy. I’m about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare.",1st Presidential Debate 2020,9Na6pp8DC7
Joe Biden,13:17:00,Yes.,1st Presidential Debate 2020,fxJMQKPjy7
Chris Wallace,13:17:00,And the argument that he makes and other Republicans make is that that is going to end private insurance.,1st Presidential Debate 2020,LTcGDpuvum
Joe Biden,13:23:00,It is not.,1st Presidential Debate 2020,yWIrfLk5wW
Chris Wallace,13:25:00,If I start asking the question.,1st Presidential Debate 2020,6UiDPeHl1l
Donald Trump,13:26:00,"That’s not what your party says, by the way.",1st Presidential Debate 2020,7Rd1NR7Fli
Chris Wallace,13:29:00,And it will end private insurance and create a government takeover of health.,1st Presidential Debate 2020,dYUIdTCbNE
Joe Biden,13:32:00,"It does not. It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two.",1st Presidential Debate 2020,cjR5cj0nky
Donald Trump,13:57:00,"Joe, you agreed with Bernie Sanders, who’s far left, on the manifesto, we call it. And that gives you socialized medicine.",1st Presidential Debate 2020,uN3iXS00k4
Joe Biden,14:04:00,"Look, hey.",1st Presidential Debate 2020,CzRhjKjlUI
Donald Trump,14:05:00,Are you saying you didn’t agree?,1st Presidential Debate 2020,5lM0V6FK5X
Joe Biden,14:06:00,I’m not going to listen to him. The fact of the matter is I beat Bernie Sanders.,1st Presidential Debate 2020,U8UXeVjeub
Donald Trump,14:10:00,Not by much.,1st Presidential Debate 2020,WCCf31VcwF
Joe Biden,14:10:00,I beat him by a whole hell of a lot.,1st Presidential Debate 2020,2qwJqgv7mz
Donald Trump,14:12:00,Not by much.,1st Presidential Debate 2020,oCmudjIb8v
Joe Biden,14:12:00,"I’m here standing facing you, old buddy.",1st Presidential Debate 2020,eRSEL4L3dQ
Donald Trump,14:14:00,If Pocahontas would have left two days early you would have lost every primary.,1st Presidential Debate 2020,ZKRkMqZOkn
Joe Biden,14:17:00,All he knows how to do-,1st Presidential Debate 2020,2tAmjOl1Bc
Donald Trump,14:18:00,"On Super Tuesday, you got very lucky.",1st Presidential Debate 2020,NYdI1R76LO
Joe Biden,14:21:00,Look he’s the deal. I got very lucky. I’m going to get very lucky tonight as well.,1st Presidential Debate 2020,uWURLxn5Ek
Donald Trump,14:23:00,With what?,1st Presidential Debate 2020,AMgY2s0Qct
Joe Biden,14:23:00,And tonight I’m going to make sure.,1st Presidential Debate 2020,Ka1yLyZhbg
Donald Trump,14:25:00,With what?,1st Presidential Debate 2020,2aTjEmgiKF
Joe Biden,14:25:00,"Because here’s the deal, here’s the deal. The fact is that everything he’s saying so far is simply a lie. I’m not here to call out his lies. Everybody knows he’s a liar.",1st Presidential Debate 2020,FINWMzw2wR
Donald Trump,14:34:00,"But you agree. Joe, you’re the liar. You graduated last in your class not first in your class.",1st Presidential Debate 2020,2SCzrcNr5h
Joe Biden,14:41:00,"God, I want to make sure-",1st Presidential Debate 2020,vVLOhP7QJa
Chris Wallace,14:43:00,"Mr. President, can you let him finish, sir?",1st Presidential Debate 2020,MxD449PlAp
Joe Biden,14:44:00,"No, he doesn’t know how to do that.",1st Presidential Debate 2020,5yTZRBav8F
Donald Trump,14:46:00,"You’d be surprised. You’d be surprised. Go ahead, Joe.",1st Presidential Debate 2020,wDeXQu9Agq
Joe Biden,14:47:00,"The wrong guy, the wrong night, at the wrong time.",1st Presidential Debate 2020,LvkLhURKCC
Donald Trump,14:51:00,"Listen, you agreed with Bernie Sanders and the manifesto.",1st Presidential Debate 2020,0zPvQwhLmq
Joe Biden,14:55:00,"There is no manifesto, number one.",1st Presidential Debate 2020,v7y1NmgC4n
Chris Wallace,14:57:00,"Please let him speak, Mr. President.",1st Presidential Debate 2020,RymnFxYMav
Joe Biden,14:58:00,Number two.,1st Presidential Debate 2020,POlnzob0Si
Donald Trump,14:58:00,He just lost the left.,1st Presidential Debate 2020,JdXEhfUhla
Joe Biden,14:59:00,Number two.,1st Presidential Debate 2020,UKvudw67nN
Donald Trump,15:01:00,"You just lost the left. You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk 00:15:10], they call it socialized medicine.",1st Presidential Debate 2020,ZKrox0gduQ
Chris Wallace,15:13:00,Mr. President.,1st Presidential Debate 2020,NnYphCmoHH
Joe Biden,15:14:00,"I’ll tell you what, he is not for any help for people needing healthcare.",1st Presidential Debate 2020,RfOhyjVpa4
Donald Trump,15:20:00,"Who is, Bernie?",1st Presidential Debate 2020,wt42I9RA1A
Joe Biden,15:21:00,"Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won’t ever look you in the eye and say that’s what he wants to do. Take it away.",1st Presidential Debate 2020,jKWQtbedoi
Donald Trump,15:41:00,"No, I want to give them better healthcare at a much lower price, because Obamacare is no good.",1st Presidential Debate 2020,f6j7s5IZbT
Joe Biden,15:45:00,He doesn’t know how. He doesn’t know how to do that.,1st Presidential Debate 2020,MZk9kp02GX
Donald Trump,15:46:00,I’ve already fixed it.,1st Presidential Debate 2020,cgdV3CIMjD
Joe Biden,15:47:00,He has never offered a plan.,1st Presidential Debate 2020,yWhfdTRkYU
Donald Trump,15:49:00,"We’ve already fixed it to an extent. Obamacare, as you might know but probably don’t, Obamacare is no good.",1st Presidential Debate 2020,3bAUc3ixth
Chris Wallace,15:54:00,"Gentlemen, you realize if you’re both speaking at the same time. Let the President. Go ahead, sir.",1st Presidential Debate 2020,sWKam90UmQ
Donald Trump,15:59:00,"Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed … They shouldn’t even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they’ll probably blame him, but they’ll blame me. But more importantly, I want to help people. Okay. I said, “You’ve got to run it so well.” And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it’s a disaster. It’s too expensive. Premiums are too high, that it doesn’t work. So we do want to get rid of it. Chris, we want to get rid of that and give something that’s cheaper and better.",1st Presidential Debate 2020,RQWOfpCrQe
Chris Wallace,16:42:00,"I understand that, sir. But I have to give you roughly equal time.",1st Presidential Debate 2020,W8olKZZKaP
Donald Trump,16:45:00,Go ahead.,1st Presidential Debate 2020,KblvOwmYc1
Chris Wallace,16:45:00,"Please let the Vice President talk, sir.",1st Presidential Debate 2020,AlopylZ58C
Donald Trump,16:47:00,Good.,1st Presidential Debate 2020,TprPPBA1jW
Joe Biden,16:48:00,He has no plan for healthcare.,1st Presidential Debate 2020,XDD8mEslKq
Donald Trump,16:50:00,"Of course, we do.",1st Presidential Debate 2020,Wq4HJJ32p4
Chris Wallace,16:52:00,Please.,1st Presidential Debate 2020,y54nUC8lVW
Joe Biden,16:52:00,"He sends out wishful thinking. He has Executive Orders that have no power. He hasn’t lowered drug costs for anybody. He’s been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn’t have a plan. And the fact is this man doesn’t know what he’s talking about. [crosstalk 00:17:14].",1st Presidential Debate 2020,1zjjHcNQ14
Chris Wallace,17:13:00,"All right, I have one final question for you.",1st Presidential Debate 2020,Gk2O4h2hdQ
Joe Biden,17:15:00,Sure.,1st Presidential Debate 2020,AYMT6moLF2
Chris Wallace,17:16:00,"Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You call this a distraction by the President. But, in fact, it wasn’t brought up by the President. It was brought up by some of your Democratic colleagues in the Congress. So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?",1st Presidential Debate 2020,CymAEs87gT
Joe Biden,17:55:00,"Whatever position I take on that, that’ll become the issue. The issue is the American people should speak. You should go out and vote. You’re voting now. Vote and let your Senators know strongly how you feel.",1st Presidential Debate 2020,R1CynjdAMZ
Donald Trump,18:05:00,Are you going to pack the court?,1st Presidential Debate 2020,gDhdqQrzBb
Joe Biden,18:07:00,Vote now.,1st Presidential Debate 2020,SmCebbhzo9
Donald Trump,18:08:00,Are you going to pack the court?,1st Presidential Debate 2020,05vkWx94wm
Joe Biden,18:09:00,"Make sure you, in fact, let people know, your Senators.",1st Presidential Debate 2020,IGcZLp045Q
Donald Trump,18:12:00,He doesn’t want to answer the question.,1st Presidential Debate 2020,L2DNYMN4cN
Joe Biden,18:17:00,I’m not going to answer the question.,1st Presidential Debate 2020,59dswVb91H
Donald Trump,18:18:00,Why wouldn’t you answer that question? You want to put a lot of new Supreme Court Justices. Radical left.,1st Presidential Debate 2020,8UKRHiIIxk
Joe Biden,18:18:00,"Will you shut up, man?",1st Presidential Debate 2020,2BjTrJprUm
Donald Trump,18:20:00,"Listen, who is on your list, Joe? Who’s on your list?",1st Presidential Debate 2020,9Gs9DSwy00
Chris Wallace,18:23:00,"Gentlemen, I think we’ve ended this-",1st Presidential Debate 2020,CMBc9rMYkC
Joe Biden,18:25:00,This is so un-Presidential.,1st Presidential Debate 2020,hv6rNu12QS
Donald Trump,18:25:00,He’s going to pack the court. He is not going to give a list.,1st Presidential Debate 2020,xxEZhde1eC
Chris Wallace,18:27:00,We have ended the segment. We’re going to move on to the second segment.,1st Presidential Debate 2020,yZRGT8ODZ5
Joe Biden,18:30:00,"That was really a productive segment, wasn’t it? Keep yapping, man.",1st Presidential Debate 2020,etfFH9mZNz
Donald Trump,18:35:00,"The people understand, Joe.",1st Presidential Debate 2020,BCBtIjb2fU
Joe Biden,18:37:00,They sure do.,1st Presidential Debate 2020,ao886sqodb
Donald Trump,18:37:00,"47 years, you’ve done nothing. They’re understand.",1st Presidential Debate 2020,hN9JNLDsjK
Chris Wallace,18:40:00,"All right, the second subject is COVID-19, which is an awfully serious subject. So let’s try to be serious about it. We have had more than seven million cases of coronavirus in the United States and more than 200,000 people have died. Even after we produce a vaccine, experts say that it could be months or even years before we come back to anything approaching normal. My question for both of you is, based on what you have said and done so far, and what you have said you would do starting in 2021, why should the American people trust you more than your opponent to deal with this public health crisis going forward? In this case, the question goes to you first, sir. Two minutes, uninterrupted.",1st Presidential Debate 2020,mkzeLJXyrO
Joe Biden,19:33:00,"Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world’s population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, “It is what it is.” Well, it is what it is because you are who you are. That’s why it is. The President has no plan. He hasn’t laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He’s on tape as acknowledging he knew it. He said he didn’t tell us or give people a warning of it because he didn’t want to panic the American people. You don’t panic. He panicked. In addition to that, what did he do?",1st Presidential Debate 2020,uI2gXxMUlo
Joe Biden,20:30:00,He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that.,1st Presidential Debate 2020,1ZN95XjeUs
Donald Trump,20:43:00,Wrong.,1st Presidential Debate 2020,6SUSAKsxtz
Joe Biden,20:43:00,He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn’t have a plan.,1st Presidential Debate 2020,MWpJDhUCzo
Donald Trump,20:57:00,Wrong.,1st Presidential Debate 2020,i8DaORZdVa
Chris Wallace,20:57:00,"Sir, it’s his two minutes.",1st Presidential Debate 2020,0Vv21How8v
Donald Trump,20:57:00,It’s so wrong.,1st Presidential Debate 2020,0WZfToaIrO
Joe Biden,20:57:00,"I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives.",1st Presidential Debate 2020,MLVZK65Zzm
Donald Trump,21:30:00,"So, if we would have listened to you.",1st Presidential Debate 2020,vaIPTUkTe0
Chris Wallace,21:31:00,"Wait, wait. You have two minutes, sir.",1st Presidential Debate 2020,FuEkr4UkYb
Donald Trump,21:31:00,"If we would’ve listened to you, the country would have been left wide open, millions of people would have died, not 200,000. And one person is too much. It’s China’s fault. It should have never happened. They stopped it from going in, but it was China’s fault. And, by the way, when you talk about numbers, you don’t know how many people died in China. You don’t know how many people died in Russia. You don’t know how many people died in India. They don’t exactly give you a straight count, just so you understand. But if you look at what we’ve done, I closed it and you said, “He’s xenophobic. He’s a racist and he’s xenophobic,” because you didn’t think I should have closed our country. Wait a minute.",1st Presidential Debate 2020,LzmgYu2qyY
Chris Wallace,22:06:00,"Sir, it’s his two minutes.",1st Presidential Debate 2020,z9vKEZnsir
Donald Trump,22:07:00,"You didn’t think we should have closed our country because you thought it was terrible. You wouldn’t have closed it for another two months. By my doing it early, in fact, Dr. Fauci said, “President Trump saved thousands of lives.” Many of your Democrat Governors said, “President Trump did a phenomenal job.” We worked with the Governor. Oh really, go take a look. The Governors said I did a phenomenal job. Most of them said that. In fact, people that would not be necessarily on my side said that, “President Trump did a phenomenal job.” We did. We got the gowns. We got the masks. We made the ventilators. You wouldn’t have made ventilators. And now we’re weeks away from a vaccine. We’re doing therapeutics already. Fewer people are dying when they get sick. Far fewer people are dying. We’ve done a great job.",1st Presidential Debate 2020,586CvUp5L5
Donald Trump,22:54:00,"The only thing I haven’t done a good job, and that’s because of the fake news, no matter what you say to them, they give you a bad press on it. It’s just fake news. They give you good press, they give me bad press because that’s the way it is, unfortunately. But let me just say something. I don’t care. I’ve gotten used to it. But I’ll tell you, Joe, you could never have done the job that we did. You don’t have it in your blood. You could’ve never done that, Joe.",1st Presidential Debate 2020,jyqRyEq0Qy
Joe Biden,23:15:00,I know how to do the job. I know how to get the job done.,1st Presidential Debate 2020,0NcTbli86f
Donald Trump,23:18:00,"Well, you didn’t do very well in Swine Flu. H1-N1, you were a disaster. Your own Chief of Staff said you were a disaster.",1st Presidential Debate 2020,I6XscZgU0K
