"text","cmp_code","eu_code"
"Democrats are proud to be the party that advocates retirement security for all.","504",NA
"We are the party that created and strengthened Social Security,","504",NA
"and defended public and private retirement plans that provide a decent monthly income.","504",NA
"And we are fighting to make sure that all workers have the ability to save at work for emergencies and for retirement.","504",NA
"Social Security is the most enduring thread in our nation’s social safety net.","504",NA
"We will enact policies to make Social Security more progressive, including increasing benefits for all beneficiaries,","504",NA
"meaningfully increasing minimum benefit payments,","504",NA
"increasing benefits for long-duration beneficiaries,","504",NA
"and protecting surviving spouses from benefit cuts.","504",NA
"We will eliminate provisions that unfairly reduce public sector workers’ earned Social Security benefits.","504",NA
"In light of weakened retirement security for unpaid caregivers and caregivers for family members, who sacrifice not only wages but Social Security benefits when they swap paid labor for unpaid care work, Democrats support Social Security reform which better accounts for the challenges facing unpaid caregivers—","504",NA
"including incremental reforms to the benefit formula to mitigate the penalty for unpaid care.","504",NA
"Democrats will reject every effort to cut, privatize, or weaken Social Security, including attempts to raise the retirement age, diminish benefits by cutting cost-of-living adjustments, or reduce earned benefits.","504",NA
"We will ensure Social Security will be there forever.","504",NA
"Democrats will protect Americans’ retirement security, especially in the midst of the COVID-19 pandemic,","504",NA
"and take action to protect public and private pensions to ensure workers keep the benefits they have earned, including through multiemployer plans.","701",NA
"Democrats oppose changes to the multiemployer pension system that would endanger workers’ and retirees’ pensions, including composite pension plans.","701",NA
"We support amending federal bankruptcy laws to protect workers’ earned pensions from being taken away by employers going through bankruptcy.","701",NA
"We will also make it easier to save for retirement beyond Social Security.","504",NA
"We will support approaches to retirement saving that enable workers and retirees to prepare for and prosper in retirement,","504",NA
"including reforms that will allow states and municipalities to create public individual and pooled retirement account options that are easy for workers to access and understand.","504",NA
"We will advocate federal legislation to make it easy for all workers to save, not just those in states or municipalities that have established their own programs.","504",NA
"Democrats believe that when workers are saving for retirement, the financial advisors they consult should be legally obligated to put their client's best interests first.","403",NA
"We will take immediate action to reverse the Trump Administration's regulations allowing financial advisors to prioritize their self-interest over their clients' financial wellbeing.","403",NA
"And Democrats will equalize the network of retirement savings tax breaks so that working people can build their nest eggs faster,","701",NA
"while also providing more equitable access to these accounts through automatic enrollment and relaxed contribution restrictions for unpaid caregivers.","503",NA
"ACHIEVING UNIVERSAL, AFFORDABLE, QUALITY HEALTH CARE","H",NA
"Democrats have fought to achieve universal health care for a century.","504",NA
"We are proud to be the party of Medicare, Medicaid, and the Affordable Care Act.","504",NA
"Because of the Obama-Biden Administration and the Affordable Care Act, more than 100 million Americans with pre-existing conditions, from heart disease to asthma, are secure in the knowledge that insurance companies can no longer discriminate against them.","504",NA
"Women can no longer be charged more than men just because of their gender.","503",NA
"And more Americans are able to get health coverage than ever before.","504",NA
"Democrats will keep up the fight until all Americans can access secure, affordable, high-quality health insurance","504",NA
"—because as Democrats, we fundamentally believe health care is a right for all, not a privilege for the few.","504",NA
"Unfortunately, at every turn, Democrats’ efforts to guarantee health coverage have been met by obstruction and opposition from the Republican Party.","504",NA
"It has been Republicans who have embraced junk plans that undermine protections for pre-existing conditions.","504",NA
"It was Republican state attorneys general who sued to block Medicaid expansion and Republican governors who refused to extend Medicaid coverage to their citizens, leaving millions of low-income Americans, disproportionately people of color, unable to access health coverage.","504",NA
"And in the midst of the worst global pandemic in generations—one that has left more than 150,000 Americans dead and counting—the Trump Administration is fighting in court to invalidate the entirety of the Affordable Care Act and eliminate insurance for tens of millions of people.","504",NA
"Overturning the Affordable Care Act remains a central plank of the Republican Party platform.","305.1",NA
"The difference in values between the two parties on this life-or-death issue could not be more stark.","305.1",NA
"The COVID-19 pandemic has made this difference in values painfully, brutally clear.","305.1",NA
"President Trump has repeatedly downplayed the threat of the coronavirus, bullied governors for enacting life-saving public health measures, and left our frontline health care heroes without the equipment they need to protect themselves and the American people.","305.2",NA
"The burdens of this pandemic have not been borne equally, as communities of color have suffered higher rates of infection and death,","503",NA
"and struggled to access life-saving care when they need it most.","504",NA
"Our essential workers have been deemed expendable by the President and his Administration.","305.2",NA
"As Democrats, we say with one voice: no more.","305.1",NA
"We are going to at last build the health care system the American people have always deserved: one that finally provides universal health care coverage;","504",NA
"reduces prescription drug prices, premiums, and out-of-pocket costs","504",NA
"; reins in overall health care expenses;","504",NA
"and tackles the deep-seated inequities in our health care system.","503",NA
"We will build a health care system that is driven by the needs of patients and the people who care for them, instead of the profit motives of corporations.","504",NA
"We will tackle entrenched racial disparities in health care,","503",NA
"reduce prescription drug prices by standing up to big pharmaceutical companies","504",NA
", and make it easier to access mental health and substance use disorder treatment and long-term services and supports in metropolitan and rural areas alike.","504",NA
"Democrats will always fight to save Americans’ lives by making it easier and more affordable to go to the doctor, get prescription medicines, and access preventive testing and treatments.","504",NA
"Generations of Democrats have been united in the fight for universal health care.","305.1",NA
"We are proud our party welcomes advocates who want to build on and strengthen the Affordable Care Act and those who support a Medicare for All approach;","504",NA
"all are critical to ensuring that health care is a human right.","504",NA
"Securing Universal Health Care","H",NA
"Through a Public Option","H",NA
"Democrats believe we need to protect, strengthen, and build upon our bedrock health care programs, including the Affordable Care Act, Medicare, Medicaid, and the Veterans Affairs (VA) system.","504",NA
"Private insurers need real competition to ensure they have incentive to provide affordable, quality coverage to every American.","401",NA
"To achieve that objective, we will give all Americans the choice to select a high-quality, affordable public option through the Affordable Care Act marketplace.","504",NA
"The public option will provide at least one plan choice without deductibles;","504",NA
"will be administered by CMS, not private companies;","504",NA
"and will cover all primary care without any co-payments and control costs for other treatments by negotiating prices with doctors and hospitals, just like Medicare does on behalf of older people.","504",NA
"Everyone will be eligible to choose the public option or another Affordable Care Act marketplace plan.","504",NA
"To help close the persistent racial gap in insurance rates, Democrats will expand funding for Affordable Care Act outreach and enrollment programs, so every American knows their options for securing quality, affordable coverage.","504",NA
"The lowest-income Americans, including more than four million adults who should be eligible for Medicaid but who live in states where Republican governors have refused to expand the program, will be automatically enrolled in the public option without premiums;","504",NA
"they may opt out at any time.","504",NA
"And we will enable millions of older workers to choose between their employer-provided plans, the public option, or enrolling in Medicare when they turn 60, instead of having to wait until they are 65.","504",NA
"Democrats are categorically opposed to raising the Medicare retirement age.","504",NA
"Democrats will also empower the states, as laboratories of democracy, to use Affordable Care Act innovation waivers to develop locally tailored approaches to health coverage,","301",NA
"including by removing barriers to states that seek to experiment with statewide universal health care approaches.","301",NA
"We also know that finally covering every American through the public and private insurance system alone is not enough to guarantee universal access.","504",NA
"That is why Democrats support doubling investments in community health centers and rural health clinics in underserved urban and rural areas,","504",NA
"including increased support for dental care, mental health care, and substance use services like medication-assisted treatment,","504",NA
"and why we will increase support for mobile health clinics.","504",NA
"We will enact longer, multi-year funding cycles for these critical health services so they can operate with greater certainty,","504",NA
"as community health centers are the nation’s only providers that are required by law to be both located in medically underserved areas","504",NA
"and required to serve all who seek care, regardless of their ability to pay.","504",NA
"And we will leverage innovative payment options through Medicare and Medicaid to help community health centers and rural health clinics keep their doors open.","504",NA
"We will expand the National Health Service Corps and Teaching Health Center Graduate Medical Education Program to grow a diverse primary care workforce","504",NA
"and to address critical shortages of health care providers in medically underserved rural and urban areas,","504",NA
"including primary care nurses, dental professionals, and mental health and substance use counselors.","504",NA
"Democrats will also increase monitoring and enforcement to ensure that health care facilities are accessible to people with disabilities.","503",NA
"Bringing Down Drug Prices and Taking on the Pharmaceutical Industry","H",NA
"Too many Americans struggle to afford the prescription drugs they need to get or stay healthy.","504",NA
"No American should find themselves foregoing or rationing medications because they can’t afford to pay—","504",NA
"especially when taxpayer money underwrites research leading to the development of many prescription drugs in the first place.","411",NA
"Democrats will take aggressive action to ensure that Americans do not pay more for prescription drugs than people in other advanced economies,","412",NA
"and ensure that all necessary medications are covered.","504",NA
"We will empower Medicare to at last be able to negotiate prescription drug prices for all public and private purchasers—for families and businesses, as well as older Americans—no matter where they get their coverage.","504",NA
"We will also prevent the price of brand-name and outlier generic drugs from rising faster than the inflation rate.","412",NA
"We will cap out-of-pocket drug costs for seniors,","412",NA
"and ensure that effective treatments for chronic health conditions are available at little or no cost.","504",NA
"For too long, prescription drug companies have gamed the system to justify their price increases by any means available.","412",NA
"Democrats will crack down on anti-competitive efforts to manipulate the patent system or collude on prices.","403",NA
"And we will eliminate tax breaks for prescription drug advertisements.","403",NA
"Reducing Health Care Costs and Improving Health Care Quality","H",NA
"The United States spends more per capita on health care than any other advanced economy, and has less to show for it.","602.1",NA
"Health care costs have been increasing for decades, with average premiums for an employer-provided family plan topping $20,000 in 2019.","416.2",NA
"Democrats know we can reduce out-of-pocket costs for families while improving the quality of health care for all.","504",NA
"We will make it easier for working families to afford high-quality insurance in the Affordable Care Act marketplaces by ensuring that no one pays more than 8.5 percent of their income in premiums","412",NA
"and eliminating the cap on subsidies.","412",NA
"Democrats believe that when Americans are in the hospital or an emergency room, they shouldn’t have to worry about whether their health care providers are in-network or not, which is why we will outlaw the predatory practice of surprise medical billing.","403",NA
"We will work to increase price transparency in the health care system across all payers,","403",NA
"and reduce paperwork through uniform medical billing.","403",NA
"And we will vigorously use antitrust laws to fight against mega-mergers in the hospital, insurance, and pharmaceutical industries that would raise prices for patients by undermining market competition.","403",NA
"Excessive prescription drug cost-sharing and voids in coverage such as dental, vision, and hearing services can lead to severe health consequences for Medicare patients.","504",NA
"Democrats will fight any efforts to cut Medicare benefits,","504",NA
"and support finding financially sustainable policies to expand Medicare to cover dental, vision, and hearing.","504",NA
"Democrats will support policies that increase the number of primary care practitioners, registered nurses, dentists, and dental therapists, especially in rural and low-income metropolitan areas, so it’s easier for every American to access preventive and primary health care.","504",NA
"Democrats value all people","503",NA
"and will actively promote wellness programs for all ages in our diverse communities for better overall health.","504",NA
"Expanding Access to Mental Health and Substance Use Treatment","H",NA
"Every American who needs it should be able to access mental health care or substance use disorder treatment, no matter where they live.","504",NA
"Democrats will aggressively enforce the federal mental health and substance use disorder parity law","504",NA
"and ensure that health insurers adequately cover mental health and substance use treatment.","504",NA
"We will also invest in training and hiring more mental health providers, substance use disorder counselors, and peer support counselors,","504",NA
"including by expanding funding for health clinics, especially in rural areas,","504",NA
"and increasing access to these services through Medicaid.","504",NA
"Trauma has a profound effect on both mental and physical health, and Democrats will support increased training for health care professionals, educators, social workers, and other care workers in trauma-informed care and practices.","504",NA
"We will oppose efforts to weaken HIPAA and FERPA privacy rights of people with mental illness.","504",NA
"The opioid epidemic has devastated American communities,","602.1",NA
"and the Trump Administration has completely failed in its response, leaving millions of families desperate for help.","305.1",NA
"Democrats will make medication-assisted treatment available to all who need it,","504",NA
"and will require publicly supported health clinics to offer medication-assisted treatment for opioid addiction","504",NA
"and approved treatments for other substance use disorders.","504",NA
"We believe we must stop over-prescribing while improving access to effective and needed pain management.","504",NA
"Democrats recognize that incarcerated people suffer from serious mental health and substance use disorders at higher rates than the general population, which is why we will support expanded access to mental health and substance use disorder care in prisons and for returning citizens.","504",NA
"We will ensure no one is incarcerated solely for drug use,","605.2",NA
"and support increased use of drug courts,","605.2",NA
"harm reduction interventions,","504",NA
"and treatment diversion programs for those struggling with substance use disorders.","504",NA
"Expanding Long-Term Care Services and Supports","H",NA
"The COVID-19 pandemic exposed the vulnerabilities of people who reside in institutional settings, such as nursing homes and independent living facilities,","706",NA
"and made clear that biases within Medicaid create undue barriers to home- and community-based long-term services and supports.","503",NA
"Democrats will work to eliminate waiting lists for home and community-based care","504",NA
"and the institutional bias within Medicaid,","503",NA
"making investments in building the capacity of the Medicaid system to provide home and community-based services.","504",NA
"We will modernize Medicaid eligibility so people with disabilities do not have to work low-wage jobs to access needed services,","504",NA
"and to ensure the spouses of people with disabilities can maintain a certain level of income and assets.","504",NA
"We will also help Americans pay for long-term care by creating a tax credit for informal and family caregivers","504",NA
"and increasing the Child and Dependent Care Tax Credit.","504",NA
"Democrats will also pursue policies to improve nursing home staffing and quality standards,","504",NA
"strengthen accreditation processes,","504",NA
"and combat corporate abuses in nursing homes and independent living facilities.","504",NA
"And Democrats are strongly committed to protecting and enforcing the Americans with Disabilities Act","503",NA
"and fulfilling the promise of the Olmstead v. L.C. decision, which found institutional segregation of people with disabilities to be unlawful.","503",NA
"Eliminate Racial, Gender, and Geographic Health Inequities","H",NA
"The national statistics on American health care mask profound disparities in insurance rates, access to primary and specialized care, and disparate health outcomes, which are a symptom of those disparities in access.","602.1",NA
"Even before the COVID-19 pandemic, the uninsured rate was nearly three times higher for Latinos and nearly twice as high for Black Americans as it was for whites.","503",NA
"Some segments of the Asian American and Pacific Islander population faced uninsured rates rivaling those of Black Americans and Latinos,","503",NA
"and more than one in five Native Americans and Alaska Natives was uninsured.","503",NA
"Black children are far more likely than white children to suffer from asthma.","503",NA
"Latinos, Native Americans, Asian Americans and Pacific Islanders, and Black Americans are diagnosed with diabetes at higher rates than whites.","503",NA
"And average life expectancy is more than two years lower for rural Americans compared to those who live in metropolitan areas.","503",NA
"We recognize it is not enough to have a commitment to eliminating health disparities: we must have a plan.","503",NA
"That is why Democrats will launch a sustained, government-wide effort, with leadership at the highest levels, to eliminate racial, ethnic, gender, and geographic gaps in insurance rates, access to quality care, and health outcomes.","504",NA
"That includes tackling the social, economic, and environmental inequities—the social determinants of health like poor housing, hunger, inadequate transportation, mass incarceration, air and water pollution, and gun violence—","503",NA
"that contribute to worse health outcomes for low-income Americans and people of color.","503",NA
"We can and must fix these inequities by expanding coverage,","504",NA
"making health care more affordable,","504",NA
"and tackling implicit bias in our health care system.","503",NA
"Democrats will ensure that people with disabilities are never denied coverage based on the use of quality-adjusted life year (QALY) indexes.","504",NA
"Democrats will ensure federal data collection and analysis is adequately funded and designed to allow for disaggregation by race, gender, sexual orientation, gender identity, geography, disability status, national origin, and other important variables, so that disparities in health coverage, access, and outcomes can be better understood and addressed.","503",NA
"We will expand access to health care for people living and working across the United States by extending Affordable Care Act coverage to Dreamers,","504",NA
"and working with Congress to lift the five-year waiting period for Medicaid and Children’s Health Insurance Program eligibility for low-income, lawfully present immigrants.","504",NA
"Democrats remain committed to ending the HIV/AIDS epidemic,","504",NA
"which disproportionately affects communities of color and the LGBTQ+ community,","504",NA
"and will support critical investments under the Ryan White HIV/AIDS Program and the Minority HIV/AIDS Fund.","504",NA
"Protecting Native American Health","H",NA
"Native American tribes have for too long been forced to cope with insufficient access to health care and mental health services,","504",NA
"nutrition services,","504",NA
"and modern infrastructure.","411",NA
"Democrats are committed to pursuing environmental justice and climate justice, including for Indigenous peoples and communities,","607.3",NA
"and will invest significant new resources in clean water and wastewater infrastructure,","411",NA
"clean energy generation and distribution,","501",NA
"and sustainable and regenerative agriculture.","703.1",NA
"And we will make mandatory and work toward full funding for the Indian Health Service","504",NA
"as part of our commitment to pursuing strong nation-to-nation relationships","607.3",NA
"and honoring the United States’ trust obligations to Native American communities.","607.3",NA
"Securing Reproductive Health, Rights, and Justice","H",NA
"Democrats are committed to protecting and advancing reproductive health, rights, and justice.","504",NA
"We believe unequivocally, like the majority of Americans, that every woman should be able to access high-quality reproductive health care services,","504",NA
"including safe and legal abortion.","604",NA
"We will repeal the Title X domestic gag rule","604",NA
"and restore federal funding for Planned Parenthood,","504",NA
"which provides vital preventive and reproductive health care for millions of people, especially low-income people, and people of color, and LGBTQ+ people, including in underserved areas.","503",NA
"Democrats oppose and will fight to overturn federal and state laws that create barriers to reproductive health and rights.","504",NA
"We will repeal the Hyde Amendment,","604",NA
"and protect and codify the right to reproductive freedom.","604",NA
"We condemn acts of violence, harassment, and intimidation of reproductive health providers, patients, and staff.","604",NA
"We will address the discrimination and barriers that inhibit meaningful access to reproductive health care services, including those based on gender, sexual orientation, gender identity, race, income, disability, geography, and other factors.","503",NA
"Democrats oppose restrictions on medication abortion care that are inconsistent with the most recent medical and scientific evidence and that do not protect public health.","604",NA
"We recognize that quality, affordable comprehensive health care;","504",NA
"medically accurate, LGBTQ+ inclusive, age-appropriate sex education;","506",NA
"and the full range of family planning services are all essential to ensuring that people can decide if, when, and how to start a family.","603",NA
"We are proud to be the party of the Affordable Care Act,","305.1",NA
"which prohibits discrimination in health care on the basis of sex","503",NA
"and requires insurers to cover prescription contraceptives at no cost.","504",NA
"These efforts have significantly reduced teen and unintended pregnancies by making it easier to decide whether, when, and how to have a child.","504",NA
"We believe that a person's health should always come first.","504",NA
"Democrats will protect the rights of all people to make personal health care decisions,","504",NA
"and will reject the Trump Administration’s use of broad exemptions to allow medical providers, employers, and others to discriminate.","503",NA
"Protecting and Promoting Maternal Health","H",NA
"Black women are more than three times as likely to die from complications of pregnancy and childbirth compared to white women.","503",NA
"To save mothers’ lives, Democrats will expand postpartum Medicaid coverage to a full year after giving birth,","504",NA
"invest in rural maternal health,","504",NA
"promote a diverse perinatal workforce,","503",NA
"and implement implicit bias training for health professionals.","503",NA
"We will support comprehensive solutions to address every dimension of the Black maternal health crisis in America","504",NA
"and eliminate all racial and ethnic disparities in maternal health outcomes,","503",NA
"and support policies and approaches that will at least halve our nation’s unacceptably high maternal mortality rate.","504",NA
"We strongly and unequivocally support the decision to have a child, including by ensuring a safe and healthy pregnancy and childbirth,","504",NA
"and by providing services during pregnancy and after the birth of a child,","504",NA
"including adoption and social support services,","604",NA
"as well as protections against pregnancy discrimination.","503",NA
"We are committed to creating a society where children are safe and can thrive physically, emotionally, educationally, and spiritually.","603",NA
"Protecting LGBTQ+","H",NA
"Health","H",NA
"We condemn the Trump Administration’s discriminatory actions against the LGBTQ+ community,","503",NA
"including the dangerous and unethical regulations allowing doctors, hospitals, and insurance companies to discriminate against patients based on their sexual orientation or gender identity.","503",NA
"Democrats will reverse this rulemaking and restore nondiscrimination protections for LGBTQ+ people and people living with HIV/AIDS in health insurance,","503",NA
"including coverage of all medically necessary care for gender transition.","504",NA
"We will also take action to guarantee that LGBTQ+ people and those living with HIV/AIDS have full access to needed health care and resources,","504",NA
"including by requiring that federal health plans provide coverage for HIV/AIDS testing and treatment and HIV prevention medications like PrEP and PEP, gender confirmation surgery, and hormone therapy.","504",NA
"Democrats support increased community HIV prevention and testing programs which target Latino, Black, Asian American and Pacific Islander, Native American, and other at-risk communities to address the increases of HIV.","504",NA
"Democrats will recommit the federal government to ending the HIV/AIDS epidemic by 2025.","504",NA
"Democrats are proud that the Obama-Biden Administration lifted the discriminatory lifetime ban on blood donation by healthy gay and bisexual Americans.","305.1",NA
"We will work to ensure blood donation regulations are based on science, not fiction or stigma","503",NA
"and that no American, when seeking to donate blood, will face more stringent limitations than any other simply because of who they are.","503",NA
"Strengthening and Supporting the Health Care Workforce","H",NA
"The COVID-19 pandemic has made plain to people across the country that our health care workers are heroes.","504",NA
"Our doctors and nurses, our home health aides and physician’s assistants, our public health professionals, our home care workers and nursing home workers, and our cleaners and service workers have shown up to work every day despite dire shortages of personal protective equipment.","504",NA
"Far too many of them have lost their lives to this terrible disease,","504",NA
"and untold thousands are suffering the mental and emotional strain of losing far too many patients.","504",NA
"And yet, despite the critical role they play in our society and our economy, these frontline workers—a majority of whom are women of color—are often underpaid","504",NA
"and lack access to paid sick days, paid family and medical leave, health insurance, and other benefits critical for their own health and the health of patients.","504",NA
"Democrats believe that all jobs in the caring economy must come with family-sustaining wages, good benefits, access to paid leave, fair and predictable schedules, access to training and professional development, and the ability to join a union and collectively bargain.","701",NA
"We believe all employers funded by taxpayer dollars must pay their workers at least $15 an hour","412",NA
"and protect workers’ rights to organize.","701",NA
"Although health care jobs are among the fastest growing in the economy, demand for services still far outstrips supply, especially in primary care.","410",NA
"We will invest in community health worker care-forces around the nation proven to prevent, manage, and better treat chronic illnesses,","504",NA
"and empower first-time mothers with home visiting.","504",NA
"We will close provider gaps and increase diversity in the health care profession by creating a robust pipeline of talent with career ladders for advancement.","701",NA
"And we will also increase opportunities for community health workers to come from the communities they serve.","701",NA
"Investing in Health Science and Research","H",NA
"Scientific research is at the heart of medicine—and of health care.","411",NA
"Democrats want the United States to be at the forefront of scientific research and discovery for the benefit of our people, our economy, and our global competitiveness.","411",NA
"We will support increased and sustainable funding for health and medical research","411",NA
"and federal grants across agencies, including at the National Cancer Institute and other components of the National Institutes of Health (NIH), the CDC, and the Agency for Health Care Research and Quality.","411",NA
"We will increase the federal investment in research and development for new medications through the NIH,","411",NA
"and make sure that there is a return on that investment for taxpayers.","411",NA
"We will also build on the foundation of the Obama-Biden Administration’s Cancer Moonshot to break down silos and accelerate research into cancer and cancer treatments by creating an agency with the sole mission of finding new cures and treatments for cancer and other diseases.","411",NA
"Democrats also support increasing funding for research into health disparities by race, ethnicity, gender, gender identity, sexual orientation, age, geographic area, and socioeconomic status, with a particular focus on how the social determinants of health contribute to differences in health outcomes.","411",NA
"We support fully integrating people with disabilities in all stages of health and medical research to ensure outcomes reflect the true needs of Americans with disabilities.","503",NA
"Democrats will take steps to increase the diversity of principal investigators receiving federal grants,","503",NA
"as well as of participants in federally supported clinical trials,","503",NA
"to improve the quality and applicability of our medical research for women and people of color, who are too often left out of research on disease and medical responses to treatment options.","503",NA
"The Trump Administration’s systematic efforts to undermine, discredit, dismiss, fire, disempower, and diminish the contributions of scientists, in health science and other disciplines, have weakened our public institutions,","411",NA
"slowed the pace of scientific inquiry,","411",NA
"and profoundly damaged America’s standing in the world.","601.1",NA
"Democrats will protect the independence and intellectual freedom of scientists, whether they are employed by the federal government or receiving federal grants in support of their research,","411",NA
"and take steps to shield our scientific research agencies from future political interference.","411",NA
"PROTECTING COMMUNITIES AND BUILDING TRUST BY REFORMING OUR CRIMINAL JUSTICE SYSTEM","H",NA
"Our criminal justice system is failing to keep communities safe—and failing to deliver justice.","605.2",NA
"America is the land of the free, and yet more of our people are behind bars, per capita, than anywhere else in the world.","602.1",NA
"Instead of making evidence-based investments in education, jobs, health care, and housing that are proven to keep communities safe and prevent crime from occurring in the first place, our system has criminalized poverty,","605.2",NA
"overpoliced and underserved Black and Latino communities,","605.2",NA
"and cut public services.","504",NA
"Instead of offering the incarcerated the opportunity to turn their lives around, our prisons are overcrowded","605.2",NA
"and continue to rely on inhumane methods of punishment.","605.2",NA
"Instead of treating those who have served their time as full citizens upon their return to society, too many of our laws continue to punish the formerly incarcerated, erecting barriers to housing, employment, and voting rights for millions of Americans.","605.2",NA
"Democrats believe we need to overhaul the criminal justice system from top to bottom.","605.2",NA
"Police brutality is a stain on the soul of our nation.","602.1",NA
"It is unacceptable that millions of people in our country have good reason to fear they may lose their lives in a routine traffic stop, or while standing on a street corner, or while playing with a toy in a public park.","602.1",NA
"It is unacceptable that Black parents must have “the talk” with their children, to try to protect them from the very police officers who are supposed to be sworn to protect and serve them.","602.1",NA
"It is unacceptable that more than 1,000 people, a quarter of them Black, have been killed by police every year since 2015.","602.1",NA
"Democrats also recognize that all too often, systematic cuts to public services have left police officers on the front lines of responding to social challenges for which they have not been trained, from homelessness to mental health crises to the opioid epidemic.","504",NA
"We can and must do better for our communities.","606.1",NA
"Democrats know we can end the era of mass incarceration","605.2",NA
"and dramatically reduce the number of Americans held in jails and prisons","605.2",NA
"while continuing to reduce crime rates, which have fallen steadily from their peak nearly three decades ago.","605.1",NA
"This is the moment to root out structural and systemic racism in our criminal justice system and our society,","503",NA
"and reimagine public safety for the benefit of our people and the character of our country.","605.1",NA
"We must start by preventing people from entering the criminal justice system in the first place.","605.1",NA
"Democrats believe we must break the school-to-prison pipeline that too often relies on arrests and law enforcement to address misbehavior that ought to be handled and deescalated within the school..","506",NA
"We support re-issuing federal guidance from the Department of Education and the Department of Justice to prevent the disparate disciplinary treatment of children of color and children with disabilities in school and educational settings.","506",NA
"Democrats believe every school should have sufficient funding to employ guidance counselors, social workers, nurses, or school psychologists to help guarantee age-appropriate and racially equitable student disciplinary practices, rather than turning to police to resolve these issues.","506",NA
"A growing number of states have recognized it is unjust—and unjustifiable—to punish children and teenagers as harshly as adults.","605.2",NA
"We believe that if you aren’t old enough to drink, you aren’t old enough to be sentenced to life without parole.","605.2",NA
"The federal government will incentivize states to stop incarcerating kids,","605.2",NA
"and develop community-based alternatives to prison and detention centers for youth","605.2",NA
"and invest in after-school programs,","506",NA
"community centers,","504",NA
"and summer jobs to provide opportunities for young people at risk.","701",NA
"And Democrats believe that children who do enter the juvenile justice system should be given a true second chance, including by automatically sealing and expunging juvenile records.","605.2",NA
"Democrats believe we must ensure real accountability for individual and systemic misconduct in our police departments,","605.2",NA
"prevent law enforcement from becoming unnecessarily entangled in the everyday lives of Americans,","605.2",NA
"and reimagine policing for the benefit and safety of the American people.","605.2",NA
"In recent years, some innovative police departments have enacted evidence-based reforms to change their approach by investing in robust training","605.2",NA
"and putting in place—and, even more crucially, enforcing—strong standards governing conflict resolution, de-escalation, and use of force.","605.2",NA
"We must build on these evidence-based approaches and implement them nationwide.","605.1",NA
"Democrats will establish strict national standards governing the use of force,","605.2",NA
"including banning the use of chokeholds and carotid holds","605.2",NA
"and permitting deadly force only when necessary and a last resort to prevent an imminent threat to life.","605.2",NA
"Americans must feel safe when they are asleep in their own homes.","605.1",NA
"We will work to establish “no-knock warrants” standards.","605.2",NA
"The risk of mistakes and unintended consequences is too great.","605.2",NA
"We will require immediate application of these standards to all federal law enforcement agencies and condition federal grants on their adoption at the state and local level.","605.2",NA
"We will require officer training in effective nonviolent tactics, appropriate use of force, implicit bias, and peer intervention, both at the academy and on the job.","605.2",NA
"And we will ban racial and religious profiling in law enforcement.","503",NA
"Democrats will support measures to improve training and education for judges, corrections officers, prosecutors, public defenders, and police officers to ensure transgender and gender non-conforming people receive fair and equitable treatment in the criminal justice system.","503",NA
"It is past time to end the failed “War on Drugs,” which has imprisoned millions of Americans","605.2",NA
"—disproportionately Black people and Latinos—","503",NA
"and hasn’t been effective in reducing drug use.","605.2",NA
"Democrats support policies that will reorient our public safety approach toward prevention, and away from over-policing","605.2",NA
"—including by making evidence-based investments in jobs,","701",NA
"housing,","504",NA
"education,","506",NA
"and the arts","502",NA
"that will make our nation fairer, freer, and more prosperous.","601.1",NA
"Democrats will reinvigorate community policing approaches, so officers on the beat better serve the neighborhoods they work in,","605.2",NA
"and make smart investments to incentivize departments to build effective partnerships with social workers and mental health and substance use counselors to help respond to public health challenges.","605.2",NA
"Body cameras are not a panacea, but Democrats believe they can help improve accountability and transparency;","605.2",NA
"we support their continued use and will take steps to improve compliance,","605.2",NA
"require their use in blended federal-local task forces,","605.2",NA
"and promulgate best practices to protect personal privacy.","605.2",NA
"Democrats believe weapons of war have no place on our streets, and will once again limit the sale and transfer of surplus military weapons to domestic law enforcement agencies","605.2",NA
"—a policy President Trump reversed immediately upon taking office.","305.2",NA
"We cannot create trust without holding those in power accountable for their actions.","605.2",NA
"Democrats will reinvigorate pattern-or-practice investigations into police misconduct at the Department of Justice,","605.2",NA
"and strengthen them through new subpoena powers and expanded oversight to address systemic misconduct by prosecutors.","605.2",NA
"Far too often, the law has shielded police officers who stand accused of heinous violations of civil and human rights.","605.2",NA
"Democrats support lowering the intent standard for federally prosecuting law enforcement officials for civil rights violations.","605.2",NA
"We will also act to ensure that victims of federal, state, or local law enforcement abuses of power can seek justice through civil litigation by reining in the doctrine of qualified immunity.","605.2",NA
"The American people deserve access to timely and accurate data on activities supported by their tax dollars, including policing.","202.1",NA
"We will collect and publish data on the use of force in police departments across the country to promote transparency and accountability.","202.1",NA
"To increase transparency and improve federal, state, and local law enforcement hiring practices, Democrats will also establish a national registry of officers who have been found to have abused their power.","605.2",NA
"Democrats also support measures to increase diversity among the ranks of police departments, so our law enforcement agencies look more like the communities they serve.","503",NA
"And we will seek increased funding for officer health and well-being in police departments across the country, including for personal safety equipment and mental health services.","605.1",NA
"Substance use disorders are diseases, not crimes.","605.2",NA
"Democrats believe no one should be in prison solely because they use drugs.","605.2",NA
"Democrats will decriminalize marijuana use and reschedule it through executive action on the federal level.","605.2",NA
"We will support legalization of medical marijuana,","605.2",NA
"and believe states should be able to make their own decisions about recreational use.","301",NA
